"","Speaker","Listener","Count","Dialogues","dialouge_lengths"
"1","HARRY","HERMIONE",30,"What did you put on me?|How long will it last?|It  all right, Hermione.you are safe.we are all safe.|She was terrified when she thought we had been in there. She kept asking you what else we had taken. I had bet anything there  a Horcrux there. If we find it, we can kill it. And if we kill it,we are one step closer to killing him.|I reckon you should take this then.|If I can hold it, you can.|No. I just know. When one  near.|Well done. Hey. You look like  you.|Give me the sword! The real one.|Now!|He knows.|You-Know-Who.  He knows we broke into Gringotts.  He knows what we took.  He knowswe are hunting Horcruxes. |I saw him.|I Can not always help it, Hermione! Maybe I can.  I Do not know. |I saw the castle.  And Rowena  Ravenclaw.  I think it must have  something to do with her.  We have  to go there, now.|Honestly, Hermione, when have any of our plans actually worked?  We plan, we get there and all hell breaks loose. |Okay.  But take this.  That way you can find me when you get back. |Ravenclaw Common Room. Go to start somewhere. |Its is gone! We will never--|Well done. Let is find Ron and get out of here. |Split up!|No, it will just follow us!|Here! Take one!|Wait! What about Malfoy and Blaise!|No. He will keep her close. |I know whhere he is. |There is a reason I can hear thhem--the Horcruxes. |I think I have know for awhhile. I think you have know too. |Kill the snake. Kill the snake and then it is just him. Then it will be over. |Because it answers to another.
When he killed Snape, he thought
the wand would become his. But
the thing is  it never belonged
to Snape.
It was Draco who disarmed
Dumbledore that night on the
Astronomy Tower. From that moment
on, the wand answered to him.
Until the other night 
  when I disarmed Draco.",1762
"2","HERMIONE","HARRY",26,"A Stinging Jinx.|Not long.|Harry, are you thinking there  a Horcrux in Bellatrix  vault?|Can not I use the other?|It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --|How are we going to reach it?|Harry! Behind you!|In here! |It does not realize it  free! |Leviosa!  Aviatus!  Ex Cappa!|How is it you |You let him in!  Harry, you Can not |What? You saw it. |Tonight?  But we have to plan.  We have to figure out what |No, you will give us away. |Harry!  I can see you!  In here! |Where are you going? |Did you see where it went? The diadem!|Do we climb!|C amon! This way!|Someplace safe. |Where is everyone?|Where have you been?|what is it, Harry? What is it u=you know?|I will go with you. I will--|Why did not it work for him? The
Elder wand.",782
"3","BELLATRIX","SCABIOR",9,"Show me.|Where would you find them?|Lovely scarf, Scabior. Though I am not sure it  your color.|You Do not say.|Fancy her, do you, Scabior? Can not say I blame you. MaybeWe will work out a little reward for you, hm? That is, assuming all is as it appears. Ah, Draco. Come here, darling.|Of course not.|What is wrong with his face, Scabior?|Or ran into a Stinging Jinx.|Go. GO!",376
"4","BELLATRIX","NARCISSA",4,"Get Draco.|Narcissa. Tend to your husband.|For God  sake, Cissy, you have got a wand! Use it!|The boy. Is he dead?",114
"5","LUCIUS","BELLATRIX",1,"Why Draco?",10
"6","BELLATRIX","LUCIUS",1,"Just sit back and watch, Lucius. Hm? Pour yourself another glass of wine.",73
"7","SCABIOR","BELLATRIX",5,"In the North Forest.|It  not mine.|He came to us that way. I reckon he picked it up in the forest.|Are you mad!|How dare you! Release me, woman!",144
"8","BELLATRIX","DRACO",5,"My friends here saythey have got Harry Potter. Seeing as he  an old school chum of yours, I thought you could confirm the fact for us.|Well ?|Do not be shy, sweetheart. Get up nice and close.|Pick them up, Draco. Now! Well, well, look what we have here. Harry Potter. All bright, shiny and new again. Just in time for the Dark Lord.|Call him, Draco.",349
"9","DRACO","BELLATRIX",2,"I Can not  I Can not be sure.|What  wrong with his face?",56
"10","LUCIUS","DRACO",1,"Look close, Draco. Ifwe are the ones who hand Potter over to the Dark Lord, everything will be forgiven. Do you understand --",125
"11","SCABIOR","LUCIUS",1,"Now, we will not be forgetting who actually caught him, I hope, Mr. Malfoy?",75
"12","BELLATRIX","HERMIONE",6,"Was it you, dearie? Give me her wand.We will see what the last spell was.|What is that?|Where did you get that!|This sword is meant to be in my vault at Gringotts. How did you get it?|Liar. What else did you take?|I am going to ask you once again: what else did you and your friends take from my vault!",302
"13","SNATCHER","BELLATRIX",1,"It was in her bag when we searched her. Reckon it  mine now.",60
"14","BELLATRIX","WORMTAIL",1,"Wormtail. Put these two in the cellar. I want to have a little conversation with this one. Girl to girl.",104
